iter	Passed	Remaining
407	5998	8703
408	6013	8690
409	6029	8676
410	6044	8662
411	6059	8647
412	6074	8633
413	6094	8626
414	6109	8612
415	6124	8597
416	6140	8584
417	6155	8570
418	6170	8556
419	6185	8541
420	6200	8527
421	6216	8514
422	6231	8500
423	6246	8486
424	6262	8472
425	6276	8456
426	6290	8441
427	6306	8427
428	6321	8413
429	6335	8398
430	6349	8383
431	6364	8368
432	6379	8354
433	6394	8339
434	6409	8325
435	6424	8311
436	6439	8296
437	6453	8280
438	6469	8267
439	6482	8250
440	6496	8234
441	6511	8220
442	6526	8205
443	6537	8186
444	6549	8169
445	6565	8154
446	6579	8140
447	6594	8125
448	6609	8110
449	6623	8095
450	6637	8080
451	6651	8063
452	6666	8049
453	6679	8033
454	6693	8017
455	6708	8002
456	6723	7988
457	6738	7974
458	6753	7959
459	6768	7945
460	6782	7930
461	6796	7914
462	6811	7900
463	6826	7885
464	6841	7871
465	6855	7856
466	6870	7841
467	6884	7826
468	6899	7811
469	6913	7796
470	6928	7781
471	6943	7767
472	6959	7753
473	6974	7739
474	6989	7725
475	7035	7745
476	7050	7729
477	7065	7716
478	7080	7701
479	7097	7688
480	7112	7674
481	7127	7659
482	7141	7644
483	7155	7629
484	7171	7614
485	7186	7600
486	7200	7585
487	7214	7569
488	7230	7555
489	7244	7540
490	7258	7525
491	7273	7509
492	7287	7494
493	7302	7479
494	7316	7464
495	7331	7449
496	7345	7434
497	7361	7420
498	7375	7405
499	7390	7390
500	7405	7376
501	7419	7360
502	7435	7346
503	7449	7331
504	7463	7316
505	7478	7301
506	7494	7287
507	7508	7271
508	7521	7255
509	7535	7239
510	7549	7224
511	7565	7210
512	7580	7196
513	7595	7181
514	7610	7166
515	7625	7152
516	7641	7138
517	7656	7124
518	7670	7108
519	7685	7093
520	7698	7078
521	7714	7064
522	7728	7049
523	7742	7033
524	7758	7019
525	7772	7004
526	7787	6989
527	7803	6975
528	7817	6960
529	7834	6947
530	7848	6932
531	7863	6917
532	7878	6903
533	7892	6887
534	7907	6872
535	7922	6858
536	7936	6842
537	7950	6827
538	7966	6813
539	7981	6799
540	7996	6784
541	8010	6769
542	8025	6754
543	8038	6738
544	8054	6724
545	8069	6710
546	8084	6695
547	8098	6680
548	8114	6665
549	8129	6651
550	8143	6635
551	8157	6620
552	8172	6606
553	8187	6591
554	8202	6576
555	8217	6562
556	8231	6546
557	8246	6531
558	8260	6517
559	8275	6502
560	8290	6487
561	8305	6473
562	8320	6458
563	8336	6444
564	8351	6429
565	8365	6414
566	8379	6399
567	8395	6385
568	8411	6371
569	8425	6355
570	8439	6340
571	8454	6326
572	8469	6311
573	8482	6295
574	8494	6278
575	8510	6264
576	8525	6249
577	8539	6234
578	8553	6219
579	8568	6204
580	8583	6190
581	8598	6175
582	8613	6160
583	8627	6145
584	8642	6130
585	8655	6115
586	8670	6100
587	8684	6084
588	8698	6069
589	8712	6054
590	8726	6039
591	8741	6024
592	8753	6008
593	8768	5992
594	8783	5978
595	8799	5964
596	8814	5950
597	8829	5935
598	8843	5920
599	8858	5905
600	8872	5890
601	8900	5884
602	8915	5869
603	8931	5855
604	8946	5841
605	8961	5826
606	8976	5811
607	8992	5797
608	9006	5782
609	9022	5768
610	9038	5754
611	9052	5739
612	9067	5724
613	9080	5708
614	9094	5693
615	9109	5678
616	9123	5663
617	9139	5649
618	9154	5634
619	9168	5619
620	9182	5604
621	9198	5589
622	9213	5575
623	9227	5560
624	9241	5544
625	9256	5529
626	9270	5515
627	9285	5500
628	9300	5485
629	9314	5470
630	9328	5455
631	9344	5440
632	9358	5426
633	9373	5411
634	9391	5398
635	9406	5383
636	9421	5368
637	9436	5353
638	9450	5339
639	9465	5324
640	9481	5310
641	9497	5295
642	9512	5281
643	9527	5267
644	9543	5252
645	9559	5238
646	9575	5224
647	9591	5210
648	9606	5195
649	9622	5181
650	9637	5166
651	9652	5152
652	9667	5137
653	9682	5122
654	9698	5108
655	9714	5093
656	9728	5079
657	9745	5065
658	9760	5050
659	9775	5035
660	9790	5021
661	9805	5006
662	9820	4991
663	9836	4977
664	9851	4962
665	9867	4948
666	9882	4933
667	9898	4919
668	9913	4905
669	9930	4891
670	9947	4877
671	9964	4863
672	9980	4849
673	9996	4835
674	10012	4820
675	10027	4805
676	10042	4791
677	10059	4777
678	10075	4763
679	10094	4750
680	10110	4735
681	10125	4721
682	10140	4706
683	10156	4691
684	10171	4677
685	10187	4662
686	10203	4648
687	10218	4634
688	10234	4619
689	10249	4604
690	10265	4590
691	10281	4576
692	10297	4561
693	10313	4547
694	10329	4533
695	10345	4518
696	10361	4504
697	10376	4489
698	10391	4474
699	10406	4459
700	10416	4443
701	10430	4427
702	10445	4413
703	10461	4398
704	10477	4384
705	10492	4369
706	10507	4354
707	10522	4339
708	10538	4325
709	10553	4310
710	10568	4295
711	10583	4281
712	10599	4266
713	10615	4252
714	10630	4237
715	10646	4222
716	10662	4208
717	10678	4193
718	10693	4179
719	10708	4164
720	10723	4149
721	10738	4134
722	10753	4119
723	10768	4104
724	10782	4089
725	10796	4074
726	10811	4059
727	10826	4044
728	10840	4029
729	10854	4014
730	10869	3999
731	10883	3984
732	10898	3969
733	10914	3955
734	10933	3941
735	10947	3926
736	10963	3912
737	10978	3897
738	10993	3882
739	11008	3867
740	11023	3853
741	11039	3838
742	11055	3824
743	11075	3811
744	11090	3796
745	11105	3781
746	11120	3766
747	11135	3751
748	11150	3736
749	11166	3722
750	11179	3706
751	11194	3691
752	11209	3676
753	11223	3661
754	11237	3646
755	11251	3631
756	11266	3616
757	11281	3601
758	11297	3587
759	11311	3572
760	11325	3556
761	11340	3541
762	11354	3526
763	11369	3512
764	11384	3497
765	11398	3481
766	11412	3466
767	11427	3452
768	11443	3437
769	11458	3422
770	11473	3407
771	11486	3392
772	11501	3377
773	11516	3362
774	11530	3347
775	11545	3332
776	11559	3317
777	11573	3302
778	11587	3287
779	11602	3272
780	11617	3257
781	11631	3242
782	11647	3227
783	11662	3213
784	11679	3198
785	11692	3183
786	11711	3169
787	11727	3155
788	11742	3140
789	11758	3125
790	11773	3110
791	11788	3095
792	11803	3081
793	11818	3066
794	11834	3051
795	11849	3036
796	11864	3022
797	11879	3007
798	11893	2992
799	11909	2977
800	11923	2962
801	11938	2947
802	11953	2932
803	11968	2917
804	11982	2902
805	11992	2886
806	12004	2870
807	12018	2855
808	12035	2841
809	12049	2826
810	12064	2811
811	12078	2796
812	12094	2781
813	12107	2766
814	12123	2751
815	12138	2737
816	12153	2722
817	12167	2707
818	12182	2692
819	12196	2677
820	12210	2662
821	12225	2647
822	12239	2632
823	12253	2617
824	12268	2602
825	12283	2587
826	12297	2572
827	12312	2557
828	12327	2542
829	12342	2527
830	12356	2512
831	12370	2497
832	12383	2482
833	12397	2467
834	12411	2452
835	12425	2437
836	12440	2422
837	12455	2407
838	12469	2392
839	12483	2377
840	12498	2362
841	12512	2347
842	12527	2333
843	12540	2318
844	12555	2303
845	12566	2287
846	12580	2272
847	12593	2257
848	12606	2242
849	12620	2227
850	12634	2212
851	12647	2197
852	12661	2182
853	12677	2167
854	12691	2152
855	12705	2137
856	12719	2122
857	12734	2107
858	12748	2092
859	12762	2077
860	12778	2062
861	12792	2047
862	12806	2033
863	12821	2018
864	12836	2003
865	12850	1988
866	12864	1973
867	12879	1958
868	12894	1943
869	12909	1928
870	12923	1913
871	12937	1899
872	12952	1884
873	12965	1869
874	12979	1854
875	12993	1839
876	13008	1824
877	13022	1809
878	13036	1794
879	13050	1779
880	13065	1764
881	13080	1750
882	13093	1734
883	13107	1719
884	13122	1705
885	13137	1690
886	13151	1675
887	13166	1660
888	13180	1645
889	13194	1630
890	13209	1615
891	13223	1601
892	13236	1586
893	13254	1571
894	13269	1556
895	13283	1541
896	13297	1526
897	13308	1511
898	13324	1496
899	13338	1482
900	13353	1467
901	13367	1452
902	13382	1437
903	13396	1422
904	13411	1407
905	13425	1392
906	13439	1378
907	13454	1363
908	13468	1348
909	13483	1333
910	13498	1318
911	13513	1303
912	13529	1289
913	13545	1274
914	13560	1259
915	13573	1244
916	13588	1229
917	13603	1215
