iter	Logloss
0	0.6450750909
1	0.6042315232
2	0.577788754
3	0.5519083585
4	0.5193786716
5	0.4895165424
6	0.4600004378
7	0.4413963942
8	0.4242958601
9	0.4084614261
10	0.3843206192
11	0.366842648
12	0.3546154162
13	0.3362747242
14	0.3186457268
15	0.302793262
16	0.2881202328
17	0.2757075643
18	0.2630729649
19	0.2569022659
20	0.246922818
21	0.2367865872
22	0.2284682971
23	0.2201117528
24	0.2120791908
25	0.2050311985
26	0.1987659549
27	0.1932482928
28	0.1878276762
29	0.1825802745
30	0.1777249884
31	0.1731059051
32	0.1695830216
33	0.1663538978
34	0.1627453619
35	0.1593019198
36	0.1562796112
37	0.1538649045
38	0.1511415129
39	0.1485329706
40	0.1468184618
41	0.1444903373
42	0.1432799664
43	0.1411911479
44	0.1391534679
45	0.1372752567
46	0.1360508387
47	0.134726969
48	0.1337709155
49	0.1322637227
50	0.1309245662
51	0.1295877055
52	0.1285552545
53	0.127602018
54	0.1265079563
55	0.1254295357
56	0.1243501727
57	0.1233411175
58	0.1224066169
59	0.1217111235
60	0.1212522406
61	0.1206376714
62	0.1200060804
63	0.1195101761
64	0.1188406098
65	0.1184652317
66	0.117734374
67	0.1171616376
68	0.1167946036
69	0.1161644773
70	0.1159065315
71	0.1153223114
72	0.1150470124
73	0.1146573182
74	0.11412948
75	0.1137541323
76	0.1134219909
77	0.1130542958
78	0.1127267674
79	0.112328385
80	0.1120317216
81	0.1116968033
82	0.1114619724
83	0.1110656823
84	0.1108077995
85	0.1103590717
86	0.1100027519
87	0.1096719605
88	0.1094226477
89	0.109106553
90	0.1088146051
91	0.1085650853
92	0.1083161891
93	0.1079448703
94	0.1077354784
95	0.1075004179
96	0.1073132786
97	0.1070131569
98	0.1068352956
99	0.1066412604
100	0.1064326375
101	0.1061757469
102	0.1059069757
103	0.1056133229
104	0.1054236025
105	0.1052371934
106	0.1050529584
107	0.104811293
108	0.1046038275
109	0.1043344944
110	0.1041210827
111	0.1039391196
112	0.1037779221
113	0.10362187
114	0.1034709769
115	0.1032989201
116	0.1030914883
117	0.1029253345
118	0.1027256008
119	0.1025198497
120	0.102420081
121	0.1022511203
122	0.102110756
123	0.1019778671
124	0.1018164267
125	0.1016631274
126	0.1014341414
127	0.1013404591
128	0.101191402
129	0.1010296611
130	0.1008602493
131	0.1007063206
132	0.1005817068
133	0.1004284616
134	0.1003155664
135	0.100149362
136	0.1000681687
137	0.09994844699
138	0.09981834817
139	0.09970439032
140	0.09956090455
141	0.09942738546
142	0.09925095142
143	0.09912946035
144	0.09900250868
145	0.09887270536
146	0.09873174113
147	0.09855341031
148	0.09840699878
149	0.09820255603
150	0.09804947055
151	0.09795752549
152	0.09783096062
153	0.09772073531
154	0.09761965996
155	0.09751164871
156	0.09739587348
157	0.09726357121
158	0.09716213161
159	0.09699720477
160	0.09684634254
161	0.0967112783
162	0.09653771575
163	0.09640942775
164	0.09624411771
165	0.09605256296
166	0.09584570606
167	0.09574773428
168	0.09562243653
169	0.09548590115
170	0.09537429205
171	0.0952662898
172	0.09512386394
173	0.0949539802
174	0.09480087944
175	0.09475813498
176	0.09466164687
177	0.09453662723
178	0.09443549334
179	0.09429010761
180	0.09417237626
181	0.09404146943
182	0.09383570444
183	0.09375948301
184	0.09365808934
185	0.09355084904
186	0.09344106689
187	0.09328328855
188	0.09305825946
189	0.0929427348
190	0.09283838364
191	0.09270473142
192	0.0925695999
193	0.09246221351
194	0.09237781467
195	0.09230464552
196	0.09219818
197	0.09204628976
198	0.09200316656
199	0.09185902635
200	0.09169302571
201	0.09160659229
202	0.09149573596
203	0.0913849242
204	0.09126243518
205	0.09112546994
206	0.09102368653
207	0.090934026
208	0.09086209046
209	0.09074255762
210	0.0905947384
211	0.09052571355
212	0.09039785913
213	0.09032326517
214	0.09016928661
215	0.09007307832
216	0.08992753644
217	0.08985131057
218	0.08975113331
219	0.08963623424
220	0.08953140227
221	0.08950582236
222	0.08938811508
223	0.08930186119
224	0.0891877926
225	0.08910265986
226	0.08898004572
227	0.08883269737
228	0.08862805906
229	0.08854903826
230	0.08842347005
231	0.08825257812
232	0.08818842748
233	0.08807677114
234	0.08799330138
235	0.08788951632
236	0.08776609641
237	0.08756986051
238	0.08745736733
239	0.08741681066
240	0.08737573844
241	0.08728154976
242	0.08722132781
243	0.08711631983
244	0.08702420161
245	0.08692878019
246	0.08684290046
247	0.08673823919
248	0.08663850093
249	0.08644352572
250	0.08632308555
251	0.0862292519
252	0.08614725799
253	0.08604046855
254	0.08595923843
255	0.08585153278
256	0.08575096132
257	0.08567812063
258	0.0855600787
259	0.08549738052
260	0.08540306996
261	0.08534616988
262	0.08521091728
263	0.08507700056
264	0.08501797456
265	0.08488874936
266	0.08481461183
267	0.08464433685
268	0.08447525568
269	0.08435138724
270	0.08429918681
271	0.08420884056
272	0.08407575299
273	0.08399496395
274	0.08394065134
275	0.08382101663
276	0.08377467052
277	0.08368270591
278	0.08358279523
279	0.08347871208
280	0.08335258147
281	0.08323895218
282	0.08308847229
283	0.08299678526
284	0.08293010774
285	0.08287081966
286	0.08276117777
287	0.08264543756
288	0.08261249774
289	0.08252086952
290	0.0824290348
291	0.08234637156
292	0.0822779521
293	0.082159656
294	0.08208491895
295	0.08200279951
296	0.08187119213
297	0.08180404389
298	0.08172931388
299	0.08162242109
300	0.08152262673
301	0.08141373053
302	0.0813602918
303	0.08121425691
304	0.08118021774
305	0.08112180956
306	0.08106580161
307	0.08093030666
308	0.08085872102
309	0.08077426806
310	0.08069618731
311	0.08061106695
312	0.08041965907
313	0.08031159649
314	0.08021504309
315	0.08014216994
316	0.08007913982
317	0.07998328939
318	0.07991609898
319	0.07982777286
320	0.07975752974
321	0.07959681276
322	0.07952556948
323	0.07940970475
324	0.07933582842
325	0.07917852036
326	0.07907394354
327	0.07897440715
328	0.07885694595
329	0.07877125253
330	0.07864664138
331	0.07855943933
332	0.07848274973
333	0.07840752805
334	0.07833881872
335	0.07824411995
336	0.07819529612
337	0.07807633303
338	0.07794294157
339	0.07789277957
340	0.07777162557
341	0.07769449301
342	0.07761928291
343	0.07744866636
344	0.07738147919
345	0.07731700545
